persons,prediction,reference,pred.score
person1,good,bad,0.248465628130361
person2,bad,bad,0.839837374864146
person3,bad,bad,0.805995789822191
person4,bad,good,0.809090320486575
person5,good,bad,0.237694018287584
person6,good,bad,0.347589911660179
person7,good,good,0.253672658000141
person8,bad,good,0.931961951544508
person9,bad,good,0.658916084794328
person10,bad,good,0.920103995362297
person11,good,good,0.42031546565704
person12,good,bad,0.356957057956606
person13,bad,good,0.695222280453891
person14,bad,bad,0.955488624284044
person15,bad,good,0.663128812564537
person16,bad,good,0.589740816969424
person17,good,bad,0.0645230822265148
person18,bad,bad,0.511261960957199
person19,bad,good,0.67667255573906
person20,bad,good,0.809456241549924
person21,good,good,0.0595278264954686
person22,bad,good,0.803938279859722
person23,bad,good,0.599690792616457
person24,good,good,0.12643601000309
person25,good,good,0.121682812925428
person26,bad,bad,0.538024323992431
person27,bad,good,0.54245832003653
person28,good,bad,0.461891316110268
person29,good,bad,0.12537638633512
person30,good,good,0.206851206487045
person31,good,good,0.398066154448316
person32,good,bad,0.0601420449092984
person33,bad,good,0.515241530258209
person34,bad,good,0.541319443844259
person35,good,good,0.444938828703016
person36,good,good,0.136683888733387
person37,good,good,0.262152034789324
person38,bad,bad,0.512625552015379
person39,bad,bad,0.802041440503672
